codpartido,party_name
1,PARTIDO LIBERAL COLOMBIANO
2,PARTIDO CONSERVADOR COLOMBIANO
3,UNION PATRIOTICA UP
4,ALIANZA NAL POPULAR ANAPO
5,MOVIMIENTO NACIONAL
6,MOVIMIENTO NACIONAL PROGRESISTA
7,PARTIDO NACIONAL CRISTIANO PNC
8,MOVIMIENTO UNION CRISTIANA UC
9,ALIANZA DEMOCRATICA M-19
10,MOVIMIENTO DE SALVACION NACIONAL
11,MOVIMIENTO FUERZA PROGRESISTA
12,MOVIMIENTO NUEVA COLOMBIA
13,MOVIMIENTO AUTOR IND DE COL AICO
14,MOVIMIENTO CONSERVATISMO INDEPENDIENTE
15,MOVIMIENTO ALIANZA SOC INDIGENA ASI
16,MOVIMIENTO POLITICO LAICOS POR COLOMBIA
17,MOVIMIENTO COMPROMISO CIVICO CRISTIANO C4
18,MOVIMIENTO CIVICO INDEPENDIENTE
19,MOVIMIENTO DE INTEGRACION NACIONAL
20,PARTIDO SOCIALDEMOCRATA COLOMBIANO
21,PARTIDO DEL SOC DEMOCRATICO PSD
22,MOVIMIENTO INDFRENTE DE ESPERANZA FE
23,MOVIMIENTO OBRINDEP REVOL MOIR
24,MOVIMIENTO DE DEFENSA CIUDADANA
25,MOVIMIENTO CONVERG POPULAR CIVICA
26,MOVIMIENTO CIUDADANO
27,MOVIMIENTO REVOLUCIONARIO FUERZA DEMOCRATICA
28,MOVIMIENTO NUEVA FUERZA DEMOCRATICA
29,PARTIDO POPULAR COLOMBIANO
30,MOVIMIENTO ALTERNATIVA DEMOCRATICA
31,MOVIMIENTO DE PARTICIPACION POPULAR
32,MOVIMIENTO HUMBERTISTA
33,MOVIMIENTO CIVICO SERIEDAD COLOMBIA
34,MOVIMIENTO APERTURA LIBERAL
35,MOVIMIENTO CONVERGENCIA CIUDADANA
36,MOVIMIENTO 19 DE ABRIL
37,PARTIDO VANGMORAL Y SOCVAMOS COL
38,MOVIMIENTO POLITICO COMUNAL Y COMUNI COL
39,MOVIMIENTO FUERZA COLOMBIA
40,MOVIMIENTO CONCERTACION CIVICA NACIONAL
41,MOVIMIENTO CAMBIO RADICAL
42,PARTIDO VERDE OXIGENO
43,MOVIMIENTO RECONSTRUCCION DEMOCNAC
44,MOVIMIENTO COLOMBIA MI PAIS
45,MOVIMIENTO LIBERALINDDE RESLIDER
46,MOVIMIENTO SI COLOMBIA
47,MOVIMIENTO VIA ALTERNA
48,MOVIMIENTO SOMOS COLOMBIA
49,MOVIMIENTO UNIONISTA
50,MOVIMIENTO HUELLA CIUDADANA
51,MOVIMIENTO PROGRESISMO DEMOCRATICO
52,MOVIMIENTO DE RENOVACION DEMOCRATICA
53,MOVIMIENTO ALTERNAT DE AVA SOC ALAS
54,MOVIMIENTO VOLUNTAD POPULAR
55,MOVIMIENTO RENOVACC LABORAL MORAL
56,MOVIMIENTO NUEVO LIBERALISMO
57,MOVIMIENTO PARTICIPACION COMUN MPC
58,MOVIMIENTO DEJEN JUGAR AL MORENO
59,MOVIMIENTO UNINALSEGSOC UNAMONOS
60,MOVIMIENTO UNETE COLOMBIA
61,MOVIMIENTO POLITICO CIUDADANOS POR BOYACA
62,MOVIMIENTO INTEGRACION POPULAR MIPOL
63,MOVIMIENTO POPULAR UNIDO MPU
64,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA
65,PARTIDO VIRAJE SOCIAL PVS
66,MOVIMIENTO POLITICO ANUPAC COLOMBIA
67,MOVIMIENTO POLITICO POR LA SEGURIDAD SOC
68,MOVIMIENTO AUTONOMIA CIUDADANA
69,MOVIMIENTO COLOMBIA SIEMPRE
70,MOVIMIENTO POLITICO GRU ORG LIDE POP GOLPE
71,MOVIMIENTO REPUBLICANO
72,PARTIDO INDIGENA COLOMBIANO PIC
73,MOVIMIENTO EQUIPO COLOMBIA
74,MOVIMIENTO TRANSFORMACION NACIONAL
75,PARTIDO UNIDAD DEMOCRATICA
76,MOVIMIENTO FRENTE SOCIAL Y POLITICO
77,PARTIDO COMUNISTA
78,UNIDAD POPULAR
79,SOCIALDEMOCRATA CRISTIANO
80,UNION NACIONAL DE OPOSICION UNO
81,SDC
82,FRENTE DEMOCRATICO
83,PARTIDO FRENTE UNIDAD PUEBLO
84,MOVIMIENTO DE IZQUIERDA DEMOCRATICO
85,MOVIMIENTO DE IZQUIERDA NUEVO LIBERAL 82
86,MOVIMIENTO UNITARIO METAPOLITICO MUM
87,FUP
88,PARTIDO SOCIAL DE LOS TRABAJADORES
89,UNION DEMOCRATICA GALANISTA
90,MOVIMIENTO POR UN NUEVO PAIS
91,COALICION AMPLIA DE SALVACION REGIONAL CASAR
92,MOVIMIENTO UNICO DE RENOVACION CONSERVADORA MURCO
93,MOVIMIENTO UNIDOS POR COLOMBIA
94,MOVIMIENTO DE UNIDAD NORTEVALLECAUCANA
95,MOVIMIENTO QUINTIN LAME
96,MOVIMIENTO ORIENTACION ECOLOGICA
97,OTRAS ORGANIZACIONES
98,COALICION
99,OTROS PARTIDO O MOVIMIENTOS
100,MOVIMIENTO AMOR POR COLOMBIA
101,PARTIDO NATURAL
102,MOVIMIENTO ENCUENTRO 88
103,MOVIMIENTO NACIONAL CONSERVADOR
104,COMUNIDADES NEGRAS
105,MOVIMIENTO RENOVADOR COLOMBIANO
106,PARTIDO PATRIA NUEVA
107,CONVERGENCIA POPULAR CALDENSE
108,ACTITUD RENOVADORA
109,CAMBIO DEMOCRACIA MALCON
110,CONVERGENCIA CIVICA EL META
111,CONVERGENCIA CIVICA MULTIPARTIDO
112,UNION CIVICA
113,FUERZA INDEPENDIENTE
114,RESTAURACION CONSERVADORA
115,MOVIMIENTO DE INTEGRACION HUMANA
116,ALIANZA MORAL POR COLOMBIA AMOR
117,MOVIMIENTO CIVICO AMAZONAS UNIDO
118,MOVIMIENTO INDIGENA COLOMBIANO AMAZONAS
119,ACCION COMUNITARIA
120,ALIANZA RESERVA ACCION CIVICA
121,FRENTE UNIDO NACIONAL POPULAR
122,INTEGRACION CIVICA POPULAR
123,EQUIPO LIBRE ADN
124,MOVIMIENTO DE INTEGRACION CRISTIANO
125,FRENTE MORAL
126,ANDRES PRESIDENTE
127,MOVIMIENTO CRISTIANO INDEPENDIENTE
128,JEGA
129,CREA
130,ORGANIZACION PARA LA PAZ NACIONAL
131,CONVERGENCIA NACIONAL
132,SOMOS LIBRES
133,CGT CRISTIANA
134,PROTESTEMOS
135,COMPROMISO COLOMBIA
136,MOVIMIENTO NACIONAL AYUDA MUTUA
137,PROPUESTA CIUDADANA
138,SOBERANIA POPULAR
139,LA UNIVERSIDAD AL CONGRESO
140,EMPRESARIO Y TRAB POR COLOMBIA
141,NUEVO PROYECTO
142,ACCION
143,COMUNIDADES INDIGENAS
144,FUERZA AGROPECUARIA NACIONAL
145,IZQUIERDA NUEVA
146,RENOVACION SOCIAL CATOLICA
147,ACCION DEMOCRATICA CIUDADANA
148,UNION NACIONAL INDEPENDIENTE Y R
149,CONVERGENCIA DEMOCRATICA
150,EDUCACION TRABAJO Y CAMBIO SOCIAL
