ano,tipo_eleccion,codep,codmpio,municipio,codpartido,codlista,primer_apellido,segundo_apellido,nombre,votos,curules,primer_apellido_suplente,segundo_apellido_suplente,nombre_suplente
2003,7,5,5001,MEDELLIN,1,0,VOTOS SOLO POR LA LISTA,,,15922,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,1,GOMEZ,J,ALVARO,2670,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,2,PEREZ,SOTO,MAXIMO,3553,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,3,ESTRADA,CHICA,FABIO,5629,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,4,MARTINEZ,M,SANTIAGO MANUEL,5707,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,5,HOYOS,GIRALDO,GERMAN DARIO,6380,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,6,RIVERA,RIVERA,FABIO HUMBERTO,7878,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,7,ACEVEDO,C,RAMON EMILIO,2942,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,8,ARCILA,G,AURA MARLENY,6231,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,9,MAYA,MAYA,NESTOR RAUL,1967,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,10,LUJAN,LOPEZ,JOSE,973,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,11,PORTELA,M,PEDRO LEON,716,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,12,GOMEZ,,ALVARO JOBANNY,2286,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,13,OSORNO,OSORNO,CLAUDIA J,921,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,14,MUNOZ,ORREGO,JOSE IVAN,1222,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,15,PEREZ,ALVAREZ,SERGIO,2820,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,16,BOTERO,URIBE,TULIO MARIO,1504,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,17,TORO,GONZALES,JOHN FREDY,4063,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,18,DIOSA,,GUILLERMO LEON,2918,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,19,PEREZ,,JOSE JAIR,2552,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,1,20,MIUNOZ,A,ANIBAL DE JESUS,625,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,0,VOTOS SOLO POR LA LISTA,,,6857,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,1,GOMEZ,MARTINEZ,CECILIA,1723,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,2,CASTRILLON,S,MARTA CECILIA,2104,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,3,PINO,SERNA,LUIS FERNANDO,3057,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,4,MATEOS,LARRAONA,MARIA MERCEDES,2962,1,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,5,DUQUE,GUTIERREZ,EDGAR ALBERTO,1905,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,6,VELEZ,HENAO,FARID SEGUNDO,731,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,7,GRACIANO,G,HUGO ARMANDO,2463,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,8,MONTOYA,GOMEZ,HECTOR MANUEL,211,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,9,ORTIZ,RESTREPO,AGUSTIN,825,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,10,MESA,,MARGARITA MARIA,528,NA,NA,NA,NA
2003,7,5,5001,MEDELLIN,2,11,RAMIREZ,G,EDICSSON DE J,383,NA,NA,NA,NA
