project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,gazetteer_adm_name,location_class,geographic_exactness,is_geocoded,project_title,start_actual_isodate,start_actual_type,end_actual_isodate,end_actual_type,donors,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements,locs1_n
P051306,P051306_3689653,1,3689653,Arenal,8.45928,-73.94331,PPL,populated place,6295630|6255150|CO|35|3689653,Earth|South America|Colombia|Departamento de Bolívar|Arenal,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3689611,1,3689611,Argelia,5.73127,-75.14257,PPL,populated place,6295630|6255150|CO|02|3689611,Earth|South America|Colombia|Antioquia|Argelia,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3689175,1,3689175,Barranca,6.03333,-73.7,PPL,populated place,6295630|6255150|CO|26|3689175,Earth|South America|Colombia|Departamento de Santander|Barranca,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3687541,1,3687541,Cantagallo,7.37599,-73.91963,PPL,populated place,6295630|6255150|CO|35|3687541,Earth|South America|Colombia|Departamento de Bolívar|Cantagallo,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,2
P051306,P051306_3686255,1,3686255,Cimitarra,6.31419,-73.94968,PPL,populated place,6295630|6255150|CO|26|3686255,Earth|South America|Colombia|Departamento de Santander|Cimitarra,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,2
P051306,P051306_3686065,1,3686065,Colosó,9.4915,-75.36145,PPL,populated place,6295630|6255150|CO|27|3686065,Earth|South America|Colombia|Departamento de Sucre|Colosó,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3685428,1,3685428,Cumbitara,1.65174,-77.58225,PPL,populated place,6295630|6255150|CO|20|3685428,Earth|South America|Colombia|Departamento de Nariño|Cumbitara,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3683500,1,3683500,El Peñón,5.78845,-73.42752,PPL,populated place,6295630|6255150|CO|26|3683500,Earth|South America|Colombia|Departamento de Santander|El Peñón,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3684688,1,3684688,El Carmen,6.68187,-75.75024,PPL,populated place,6295630|6255150|CO|02|3684688,Earth|South America|Colombia|Antioquia|El Carmen,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3684689,1,3684689,El Carmen,6.69736,-73.51116,PPL,populated place,6295630|6255150|CO|26|3684689,Earth|South America|Colombia|Departamento de Santander|El Carmen,2,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,2
