project_id,project_location_id,precision_code,geoname_id,place_name,latitude,longitude,location_type_code,location_type_name,gazetteer_adm_code,gazetteer_adm_name,location_class,geographic_exactness,is_geocoded,project_title,start_actual_isodate,start_actual_type,end_actual_isodate,end_actual_type,donors,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements,project_n
P041642,P041642_3685734,3,3685734,Cota,4.77601,-74.14335,ADM2,second-order administrative division,6295630|6255150|CO|33|3685734,Earth|South America|Colombia|Cundinamarca|Cota,1,1,1,PRODUCTIVE PARTNERSHIPS SUPPORT PROJECT,2002-01-22,start-actual,2008-09-30,end-actual,World Bank,DAC,Colombia,COL,151|321|310,"Agriculture, forestry, fishing|Industry|Government and civil society, general",Completion,2002,2008,39345172.3941,27049806.0209,1
P041642,P041642_3681961,3,3681961,Granada,3.4859,-73.76213,ADM2,second-order administrative division,6295630|6255150|CO|19|3681961,Earth|South America|Colombia|Departamento del Meta|Granada,1,1,1,PRODUCTIVE PARTNERSHIPS SUPPORT PROJECT,2002-01-22,start-actual,2008-09-30,end-actual,World Bank,DAC,Colombia,COL,151|321|310,"Agriculture, forestry, fishing|Industry|Government and civil society, general",Completion,2002,2008,39345172.3941,27049806.0209,1
P041642,P041642_9073272,3,9073272,Paratebueno,4.41691,-73.18559,ADM2,second-order administrative division,6295630|6255150|CO|33|9073272,Earth|South America|Colombia|Cundinamarca|Paratebueno,1,1,1,PRODUCTIVE PARTNERSHIPS SUPPORT PROJECT,2002-01-22,start-actual,2008-09-30,end-actual,World Bank,DAC,Colombia,COL,151|321|310,"Agriculture, forestry, fishing|Industry|Government and civil society, general",Completion,2002,2008,39345172.3941,27049806.0209,1
P041642,P041642_3670693,3,3670693,Rivera,2.83333,-75.16667,ADM2,second-order administrative division,6295630|6255150|CO|16|3670693,Earth|South America|Colombia|Departamento del Huila|Rivera,1,1,1,PRODUCTIVE PARTNERSHIPS SUPPORT PROJECT,2002-01-22,start-actual,2008-09-30,end-actual,World Bank,DAC,Colombia,COL,151|321|310,"Agriculture, forestry, fishing|Industry|Government and civil society, general",Completion,2002,2008,39345172.3941,27049806.0209,1
P041642,P041642_9073589,3,9073589,San Alberto,7.82489,-73.51058,ADM2,second-order administrative division,6295630|6255150|CO|10|9073589,Earth|South America|Colombia|Departamento del Cesar|San Alberto,1,1,1,PRODUCTIVE PARTNERSHIPS SUPPORT PROJECT,2002-01-22,start-actual,2008-09-30,end-actual,World Bank,DAC,Colombia,COL,151|321|310,"Agriculture, forestry, fishing|Industry|Government and civil society, general",Completion,2002,2008,39345172.3941,27049806.0209,1
P041642,P041642_3665619,3,3665619,Zambrano,9.75,-74.83333,ADM2,second-order administrative division,6295630|6255150|CO|35|3665619,Earth|South America|Colombia|Departamento de Bolívar|Zambrano,1,1,1,PRODUCTIVE PARTNERSHIPS SUPPORT PROJECT,2002-01-22,start-actual,2008-09-30,end-actual,World Bank,DAC,Colombia,COL,151|321|310,"Agriculture, forestry, fishing|Industry|Government and civil society, general",Completion,2002,2008,39345172.3941,27049806.0209,1
P051306,P051306_3690593,3,3690593,Abejorral,5.75,-75.41667,ADM2,second-order administrative division,6295630|6255150|CO|02|3690593,Earth|South America|Colombia|Antioquia|Abejorral,1,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3690586,3,3690586,Abrego,8.0,-73.2,ADM2,second-order administrative division,6295630|6255150|CO|21|3690586,Earth|South America|Colombia|Departamento de Norte de Santander|Abrego,1,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3690466,3,3690466,Aguachica,8.33333,-73.58333,ADM2,second-order administrative division,6295630|6255150|CO|10|3690466,Earth|South America|Colombia|Departamento del Cesar|Aguachica,1,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
P051306,P051306_3690217,3,3690217,Alejandría,6.36667,-75.08333,ADM2,second-order administrative division,6295630|6255150|CO|02|3690217,Earth|South America|Colombia|Antioquia|Alejandría,1,1,1,Peace and Development Project (1st Phase APL),2004-06-10,start-actual,2012-09-15,end-actual,World Bank,DAC,Colombia,COL,151|311|321|160|112,"Other social infrastructure and services|Industry|Agriculture|Government and civil society, general|Basic education",Completion,2004,2012,35137057.0688,42082267.6782,1
