OBJECTID,ENTIDAD_TE,codmuni,coddept,Municipio,Divipola_3,Department,Municipality,locs3_project_n,locs1_project_n
3693,Cabecera Municipal,54498,54,Ocaí±a,54498,Norte de Santander,Ocaí±a,1,0
3872,Cabecera Municipal,25839,25,Ubalíç,25839,Cundinamarca,Ubalíç,0,0
3941,Cabecera Municipal,19585,19,Purací© (Coconuco),19585,Cauca,Purací©,0,0
3565,Cabecera Municipal,13300,13,Hatillo De Loba,13300,Bolí_var,Hatillo de Loba,0,0
0,Cabecera Municipal,88564,88,Providencia (Santa Isabel),88564,Archipií©lago de San Andrí©s,Providencia,0,0
3383,Cabecera Municipal,19517,19,Píçez (Belalcíçzar),19517,Cauca,Paez,0,0
3384,Cabecera Municipal,19701,19,Santa Rosa,19701,Cauca,Santa Rosa,1,0
3385,Cabecera Municipal,19533,19,Piamonte,19533,Cauca,Piamonte,0,0
3386,Cabecera Municipal,19318,19,Guapi,19318,Cauca,Guapi,0,0
3387,Cabecera Municipal,19809,19,Timbiquí_,19809,Cauca,Timbiquí_,0,0
3388,Cabecera Municipal,19418,19,Lí_pez,19418,Cauca,Lí_pez,0,0
3389,Cabecera Municipal,76845,76,Ulloa,76845,Valle del Cauca,Ulloa,0,0
3390,Cabecera Municipal,76736,76,Sevilla,76736,Valle del Cauca,Sevilla,0,0
3391,"Distrito Especiale, Industrial, Portuario, Biodiverso y Ecoturí_stico.",76109,76,Buenaventura,76109,Valle del Cauca,Buenaventura,0,0
3392,Cabecera Municipal,52696,52,Santa Bíçrbara (Iscuandí©),52696,Narií±o,Santa Bíçrbara,0,0
3393,Cabecera Municipal,52250,52,El Charco,52250,Narií±o,El Charco,0,0
3394,Cabecera Municipal,52390,52,La Tola,52390,Narií±o,La Tola,0,0
3395,Cabecera Municipal,52490,52,Olaya Herrera (Bocas De Satinga),52490,Narií±o,Olaya Herrera,0,0
3396,Cabecera Municipal,52473,52,Mosquera,52473,Narií±o,Mosquera,0,0
3397,"Distrito Especiale, Industrial, Portuario, Biodiverso y Ecoturí_stico.",52835,52,Tumaco,52835,Narií±o,San Andres de Tumaco,0,1
3398,Cabecera Municipal,52520,52,Francisco Pizarro (Salahonda),52520,Narií±o,Francisco Pizarro,0,0
