elec_id,codmuni,year,municipio,s_match_muniseat,s_match_presseat,s_match_muniseatpres,s_match_none,coddept,tipo_eleccion,s_nvote,s_mvote,s_nstot,s_votepro_centro,s_votepro_conserv,s_votepro_iz,s_votepro_lib,s_votepro_min,s_votepro_other,s_votepro_tv,s_votepro_urib,s_seatpro_iR,s_seatpro_centro,s_seatpro_conserv,s_seatpro_iz,s_seatpro_lib,s_seatpro_min,s_seatpro_other,s_seatpro_tv,s_seatpro_urib,s_miproR_centro,s_miproR_conserv,s_miproR_iz,s_miproR_lib,s_miproR_min,s_miproR_other,s_miproR_tv,s_miproR_urib
senado02,5001,2002,MEDELLIN,0,0,0,1,5,2,8821720,389736,102,0.00516246895334278,-99,-99,0.180552989716116,0.0552707473777121,0,-99,0.304349611018741,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,2,3,0,-99,1
senado02,5002,2002,ABEJORRAL,0,0,0,1,5,2,8821720,4757,102,-99,-99,-99,0.185831406348539,0.0479293672482657,0,-99,0.379861257094808,4,-99,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,-99,-99,-99,2,3,0,-99,1
senado02,5004,2002,ABRIAQUI,0,0,0,1,5,2,8821720,718,102,0.00139275766016713,-99,-99,0.084958217270195,0.0125348189415042,0,-99,0.175487465181058,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,2,3,0,-99,1
senado02,5021,2002,ALEJANDRIA,0,0,0,1,5,2,8821720,1325,102,-99,-99,-99,0.070188679245283,0.204528301886792,0,-99,0.126792452830189,4,-99,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,-99,-99,-99,3,1,0,-99,2
senado02,5030,2002,AMAGA,0,0,0,1,5,2,8821720,5662,102,0.00423878488166726,-99,-99,0.439067467326033,0.0302013422818792,0,-99,0.132285411515366,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5031,2002,AMALFI,0,0,0,1,5,2,8821720,1846,102,5.41711809317443e-4,-99,-99,0.254604550379198,0.0211267605633803,0,-99,0.199891657638137,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5034,2002,ANDES,0,0,0,1,5,2,8821720,9724,102,0.00102838338132456,-99,-99,0.124434389140271,0.0426779103249691,0,-99,0.186137392019745,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,2,3,0,-99,1
senado02,5036,2002,ANGELOPOLIS,0,0,0,1,5,2,8821720,1762,102,0.00624290578887628,-99,-99,0.448354143019296,0.0119182746878547,0,-99,0.211691259931896,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5038,2002,ANGOSTURA,0,0,0,1,5,2,8821720,2588,102,0.00154559505409583,-99,-99,0.0482998454404946,0.00811437403400309,0,-99,0.0660741885625966,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,2,3,0,-99,1
senado02,5040,2002,ANORI,0,0,0,1,5,2,8821720,1504,102,0.00132978723404255,-99,-99,0.311170212765957,0.03125,0,-99,0.0232712765957447,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,2,0,-99,3
senado02,5042,2002,ANTIOQUIA,0,0,0,1,5,2,8821720,4019,102,0.00124409056979348,-99,-99,0.378701169445136,0.0413038069171436,0,-99,0.0435431699427718,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5044,2002,ANZA,0,0,0,1,5,2,8821720,481,102,-99,-99,-99,0.392931392931393,0.0207900207900208,0,-99,0.0332640332640333,4,-99,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,-99,-99,-99,1,3,0,-99,2
senado02,5045,2002,APARTADO,0,0,0,1,5,2,8821720,12229,102,9.812740207703e-4,-99,-99,0.209011366424074,0.122413934091095,0,-99,0.0882328890342628,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,2,0,-99,3
senado02,5051,2002,ARBOLETES,0,0,0,1,5,2,8821720,5745,102,6.96257615317668e-4,-99,-99,0.272410791993037,0.350565709312446,0,-99,0.032550043516101,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,2,1,0,-99,3
senado02,5059,2002,ARMENIA,0,0,0,1,5,2,8821720,1271,102,7.86782061369001e-4,-99,-99,0.406766325727773,0.216365066876475,0,-99,0.0535011801730921,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,2,0,-99,3
senado02,5079,2002,BARBOSA,0,0,0,1,5,2,8821720,8646,102,0.00242886884108258,-99,-99,0.341429562803609,0.0269488780939163,0,-99,0.151977793199167,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5086,2002,BELMIRA,0,0,0,1,5,2,8821720,1303,102,0.00153491941673062,-99,-99,0.188027628549501,0.012279355333845,0,-99,0.501151189562548,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,2,3,0,-99,1
senado02,5088,2002,BELLO,0,0,0,1,5,2,8821720,75507,102,0.00267524865244282,-99,-99,0.269100878064285,0.050061583694227,0,-99,0.221317228866198,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5091,2002,BETANIA,0,0,0,1,5,2,8821720,2383,102,0.00167855644146034,-99,-99,0.507343684431389,0.014687368862778,0,-99,0.0205623164078892,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5093,2002,BETULIA,0,0,0,1,5,2,8821720,2060,102,9.70873786407767e-4,-99,-99,0.480097087378641,0.0533980582524272,0,-99,0.0669902912621359,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5101,2002,BOLIVAR,0,0,0,1,5,2,8821720,6774,102,0.0023619722468261,-99,-99,0.289784470032477,0.0155004428697963,0,-99,0.0741068792441689,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
senado02,5107,2002,BRICENO,0,0,0,1,5,2,8821720,283,102,-99,-99,-99,0.0954063604240283,0.0212014134275618,0,-99,0.11660777385159,4,-99,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,-99,-99,-99,2,3,0,-99,1
senado02,5113,2002,BURITICA,0,0,0,1,5,2,8821720,1664,102,-99,-99,-99,0.381610576923077,0.0300480769230769,0,-99,0.0625,4,-99,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,-99,-99,-99,1,3,0,-99,2
senado02,5120,2002,CACERES,0,0,0,1,5,2,8821720,4146,102,7.23589001447178e-4,-99,-99,0.542691751085383,0.012301013024602,0,-99,0.0332850940665702,5,0.00980392156862745,-99,-99,0.284313725490196,0.0196078431372549,0.480392156862745,-99,0.205882352941176,4,-99,-99,1,3,0,-99,2
