codmuni,department,municipality
91263,AMAZONAS,EL ENCANTO
91405,AMAZONAS,LA CHORRERA
91407,AMAZONAS,LA PEDRERA
91430,AMAZONAS,LA VICTORIA
91001,AMAZONAS,LETICIA
91460,AMAZONAS,MIRITI PARANA
91530,AMAZONAS,PUERTO ALEGRIA
91536,AMAZONAS,PUERTO ARICA
91540,AMAZONAS,PUERTO NARINO
91669,AMAZONAS,PUERTO SANTANDER
91798,AMAZONAS,TARAPACA
5002,ANTIOQUIA,ABEJORRAL
5004,ANTIOQUIA,ABRIAQUI
5021,ANTIOQUIA,ALEJANDRIA
5030,ANTIOQUIA,AMAGA
5031,ANTIOQUIA,AMALFI
5034,ANTIOQUIA,ANDES
5036,ANTIOQUIA,ANGELOPOLIS
5038,ANTIOQUIA,ANGOSTURA
5040,ANTIOQUIA,ANORI
5042,ANTIOQUIA,ANTIOQUIA
5044,ANTIOQUIA,ANZA
5045,ANTIOQUIA,APARTADO
5051,ANTIOQUIA,ARBOLETES
5055,ANTIOQUIA,ARGELIA
5059,ANTIOQUIA,ARMENIA
5079,ANTIOQUIA,BARBOSA
5088,ANTIOQUIA,BELLO
5086,ANTIOQUIA,BELMIRA
5091,ANTIOQUIA,BETANIA
5093,ANTIOQUIA,BETULIA
5107,ANTIOQUIA,BRICENO
5113,ANTIOQUIA,BURITICA
5120,ANTIOQUIA,CACERES
5125,ANTIOQUIA,CAICEDO
5129,ANTIOQUIA,CALDAS
5134,ANTIOQUIA,CAMPAMENTO
5138,ANTIOQUIA,CANASGORDAS
5142,ANTIOQUIA,CARACOLI
5145,ANTIOQUIA,CARAMANTA
5147,ANTIOQUIA,CAREPA
5148,ANTIOQUIA,CARMEN DE VIBORAL
5150,ANTIOQUIA,CAROLINA
5154,ANTIOQUIA,CAUCASIA
5172,ANTIOQUIA,CHIGORODO
5190,ANTIOQUIA,CISNEROS
5101,ANTIOQUIA,CIUDAD BOLIVAR
5197,ANTIOQUIA,COCORNA
5206,ANTIOQUIA,CONCEPCION
5209,ANTIOQUIA,CONCORDIA
5212,ANTIOQUIA,COPACABANA
5234,ANTIOQUIA,DABEIBA
5237,ANTIOQUIA,DONMATIAS
5240,ANTIOQUIA,EBEJICO
5250,ANTIOQUIA,EL BAGRE
5264,ANTIOQUIA,ENTRERRIOS
5266,ANTIOQUIA,ENVIGADO
5282,ANTIOQUIA,FREDONIA
5284,ANTIOQUIA,FRONTINO
5306,ANTIOQUIA,GIRALDO
5308,ANTIOQUIA,GIRARDOTA
5310,ANTIOQUIA,GOMEZ PLATA
5313,ANTIOQUIA,GRANADA
5315,ANTIOQUIA,GUADALUPE
5318,ANTIOQUIA,GUARNE
5321,ANTIOQUIA,GUATAPE
5347,ANTIOQUIA,HELICONIA
5353,ANTIOQUIA,HISPANIA
5360,ANTIOQUIA,ITAGUI
5361,ANTIOQUIA,ITUANGO
5364,ANTIOQUIA,JARDIN
5368,ANTIOQUIA,JERICO
5376,ANTIOQUIA,LA CEJA
5380,ANTIOQUIA,LA ESTRELLA
5390,ANTIOQUIA,LA PINTADA
5400,ANTIOQUIA,LA UNION
